,,,,,Personnes déplacées internes,,,,,Personnes retournées de RCA (Ex-PDI),,,,,Personnes retournées en provenance d'autre pays,,,,,source d'information (Nbre),Qualité de la données,,,
_ADM1_NAME,_ADM2_NAME,_ADM3_NAME,_V_CODE,_Village,idps,hh_idp,ind_idp,abris_pdi_site,abris_pdi_hors_site,retournes,hh_ret_rca,ind_ret_rca,abris_ret_site,abris_ret_hors_site,retournes_etrangers,hh_ret_oth,ind_ret_oth,abris_reto_site,abris_reto_hors_site,Nbre_Informateurs_cles,coherence_informateurs,coherence_observation,existence_preuves,perception_enumerateur
Bamingui-Bangoran,Ndélé,Dar-El-Kouti,CF5111_KAN_0000,KANDJIA,oui,33,160,0,33,oui,3,11,0,3,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bamingui-Bangoran,Ndélé,Dar-El-Kouti,CF5111_KPE_0000,KPETENE,oui,67,342,0,67,non,0,0,0,0,oui,25,121,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bamingui-Bangoran,Ndélé,Dar-El-Kouti,CF5111_DJA_0000,DJALAB,oui,5,28,0,5,oui,97,489,0,97,oui,23,115,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bamingui-Bangoran,Ndélé,Dar-El-Kouti,CF5111_LEM_0002,LEMANA 2,oui,29,107,0,29,oui,6,28,0,6,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bamingui-Bangoran,Ndélé,Dar-El-Kouti,CF5111_LEM_0003,LEMANA 3,oui,17,90,0,17,oui,6,33,0,6,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bamingui-Bangoran,Ndélé,Dar-El-Kouti,CF5111_MOU_0000,MOUROUBA,oui,2,5,0,2,oui,36,183,0,36,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bamingui-Bangoran,Ndélé,Dar-El-Kouti,CF5111_NDO_0001,NDOKA 1,oui,1,2,0,1,oui,25,120,0,25,oui,2,19,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bamingui-Bangoran,Ndélé,Dar-El-Kouti,CF5111_NDO_0002,NDOKA 2,oui,64,300,0,64,oui,7,30,0,7,oui,6,20,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bamingui-Bangoran,Ndélé,Dar-El-Kouti,CF5111_SUL_0001,SULTAN 1,oui,207,1043,0,207,oui,25,130,0,25,oui,22,120,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bamingui-Bangoran,Ndélé,Dar-El-Kouti,CF5111_GOL_0000,GOLOMANDJA,oui,90,460,0,90,oui,16,90,0,16,oui,21,100,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bamingui-Bangoran,Ndélé,Dar-El-Kouti,CF5111_HAO_0000,HAOUSSA,oui,10,44,0,10,oui,11,62,0,11,oui,19,181,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bamingui-Bangoran,Ndélé,Dar-El-Kouti,CF5111_SAR_0001,SARA ZOYON,oui,73,349,0,73,non,0,0,0,0,oui,7,30,0,,3,oui_majorite,oui_majorite,en_partie,moyen
