,,,,,Personnes déplacées internes,,,,,Personnes retournées de RCA (Ex-PDI),,,,,Personnes retournées en provenance d'autre pays,,,,,source d'information (Nbre),Qualité de la données,,,
_ADM1_NAME,_ADM2_NAME,_ADM3_NAME,_V_CODE,_Village,idps,hh_idp,ind_idp,abris_pdi_site,abris_pdi_hors_site,retournes,hh_ret_rca,ind_ret_rca,abris_ret_site,abris_ret_hors_site,retournes_etrangers,hh_ret_oth,ind_ret_oth,abris_reto_site,abris_reto_hors_site,Nbre_Informateurs_cles,coherence_informateurs,coherence_observation,existence_preuves,perception_enumerateur
Mbomou,Bangassou,Sayo-Niakari,CF6212_LIM_0001,LIMBIO,oui,21,97,0,21,non,0,0,0,0,non,0,0,0,0,3,oui_majorite,oui_majorite,en_partie,eleve
Mbomou,Bangassou,Sayo-Niakari,CF6212_MBA_0002,MBARI 1,oui,316,1580,0,316,oui,3,10,0,3,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Mbomou,Bangassou,Sayo-Niakari,CF6212_MBA_0001,MBARI2,oui,271,1358,0,271,non,0,0,0,0,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Mbomou,Bangassou,Sayo-Niakari,CF6212_NAK_0001,NAKINGUILI,oui,14,77,0,14,oui,3,15,0,3,non,0,0,0,0,3,oui_majorite,oui_majorite,en_partie,eleve
Mbomou,Bangassou,Sayo-Niakari,CF6212_NDO_0001,NDOUNGA,oui,56,277,0,56,oui,14,70,0,14,non,0,0,0,0,3,oui_majorite,oui_majorite,en_partie,eleve
Mbomou,Bangassou,Sayo-Niakari,CF6212_NGA_0001,NGAMANA,non,0,0,0,0,non,0,0,0,0,oui,16,85,0,16,3,oui_majorite,oui_majorite,oui_majorite,tres_eleve
Mbomou,Bangassou,Sayo-Niakari,CF6212_NGB_0001,NGBOMBE,oui,41,249,0,41,oui,12,63,0,12,non,0,0,0,0,3,oui_majorite,oui_majorite,oui_toutes,tres_eleve
Mbomou,Bangassou,Sayo-Niakari,CF6212_NGO_0002,NGOUMBALA,oui,25,129,0,25,non,0,0,0,0,oui,7,37,0,,3,oui_majorite,oui_majorite,en_partie,tres_eleve
Mbomou,Bangassou,Sayo-Niakari,CF6212_NGO_0001,NGOUNAPALO,oui,29,150,0,29,oui,1,13,0,1,oui,41,208,0,41,3,oui_majorite,oui_majorite,en_partie,eleve
Mbomou,Bangassou,Sayo-Niakari,CF6212_NIA_0001,NIAKARI CENTRE,oui,184,924,0,184,oui,21,108,0,21,non,0,0,0,0,3,oui_majorite,oui_majorite,en_partie,eleve
Mbomou,Bangassou,Sayo-Niakari,CF6212_PAL_0001,PALANGUE,oui,9,51,0,9,oui,5,28,0,5,non,0,0,0,0,3,oui_majorite,oui_majorite,en_partie,moyen
Mbomou,Bangassou,Sayo-Niakari,CF6212_RAI_0001,RAISON,oui,28,143,0,28,oui,7,35,0,7,oui,1,8,0,1,3,oui_majorite,oui_majorite,en_partie,eleve
Mbomou,Bangassou,Sayo-Niakari,CF6212_SEW_0001,SEWA,oui,107,535,0,107,non,0,0,0,0,non,0,0,0,0,3,oui_majorite,oui_majorite,en_partie,tres_eleve
Mbomou,Bangassou,Sayo-Niakari,CF6212_SIG_0001,SIGBOROLO,oui,23,115,0,23,oui,1,6,0,1,non,0,0,0,0,3,oui_majorite,oui_majorite,en_partie,eleve
Mbomou,Bangassou,Sayo-Niakari,CF6212_ZAK_0001,ZAKOU,oui,425,2125,0,425,oui,30,150,0,30,oui,24,120,0,24,3,oui_majorite,oui_majorite,en_partie,tres_eleve
Mbomou,Bangassou,Sayo-Niakari,CF6212_ZID_0001,ZIDRO,oui,55,345,0,55,non,0,0,0,0,non,0,0,0,0,3,oui_majorite,oui_majorite,oui_toutes,eleve
Mbomou,Bangassou,Vougba-Balifondo,CF6213_AGU_0001,AGUISSOR SECK,non,0,0,0,0,oui,13,65,0,13,non,0,0,0,0,3,oui_majorite,en_partie,en_partie,moyen
Mbomou,Bangassou,Vougba-Balifondo,CF6213_BAD_0001,BADUNFU,oui,11,55,0,11,non,0,0,0,0,non,0,0,0,0,3,en_partie,oui_majorite,en_partie,moyen
Mbomou,Bangassou,Vougba-Balifondo,CF6213_BAP_0001,BAPOLI,oui,4,19,0,4,non,0,0,0,0,non,0,0,0,0,4,oui_majorite,oui_majorite,oui_majorite,eleve
Mbomou,Bangassou,Vougba-Balifondo,CF6213_BAR_0001,BARAMA,oui,12,64,0,12,oui,94,470,0,94,non,0,0,0,0,3,oui_majorite,oui_majorite,pas_du_tout,acceptable
Mbomou,Bangassou,Vougba-Balifondo,CF6213_BAT_0001,BATIMBILIKA,oui,5,23,0,5,non,0,0,0,0,non,0,0,0,0,3,oui_majorite,oui_majorite,oui_majorite,eleve
Mbomou,Bangassou,Vougba-Balifondo,CF6213_FOD_0001,FODE,non,0,0,0,0,oui,9,47,0,9,non,0,0,0,0,3,oui_majorite,en_partie,oui_majorite,moyen
Mbomou,Bangassou,Vougba-Balifondo,CF6213_KPA_0001,KPATAMOTO,oui,10,50,0,10,oui,6,30,0,6,oui,9,46,0,9,3,oui_majorite,en_partie,oui_majorite,moyen
Mbomou,Bangassou,Vougba-Balifondo,CF6213_MAK_0001,MAKEMBE,oui,3,15,0,3,non,0,0,0,0,non,0,0,0,0,3,oui_majorite,en_partie,en_partie,moyen
Mbomou,Bangassou,Vougba-Balifondo,CF6213_MBA_0002,MBALAZIME 1,oui,7,35,0,7,non,0,0,0,0,non,0,0,0,0,3,oui_majorite,en_partie,en_partie,moyen
Mbomou,Bangassou,Vougba-Balifondo,CF6213_MBA_0003,MBALAZIME 2,oui,13,50,0,13,oui,68,335,0,68,non,0,0,0,0,3,en_partie,en_partie,en_partie,acceptable
Mbomou,Bangassou,Vougba-Balifondo,CF6213_MBA_0001,MBALAZIME 3,oui,34,170,0,34,non,0,0,0,0,non,0,0,0,0,4,en_partie,oui_majorite,en_partie,moyen
Mbomou,Bangassou,Vougba-Balifondo,CF6213_SAM_0001,SAMBA MBANGUIA,oui,11,55,0,11,non,0,0,0,0,non,0,0,0,0,3,oui_majorite,en_partie,pas_du_tout,moyen
Mbomou,Bangassou,Vougba-Balifondo,CF6213_TOU_0001,TOULEYINGUI,oui,16,80,0,16,non,0,0,0,0,non,0,0,0,0,3,en_partie,oui_majorite,en_partie,moyen
Mbomou,Bangassou,Vougba-Balifondo,CF6213_VOU_0001,VOUGBA,oui,8,40,0,8,non,0,0,0,0,non,0,0,0,0,3,oui_majorite,en_partie,en_partie,moyen
Mbomou,Bangassou,Vougba-Balifondo,CF6213_YOM_0001,YOMBO-MBOUYO,oui,7,33,0,7,non,0,0,0,0,non,0,0,0,0,3,oui_majorite,en_partie,en_partie,moyen
Mbomou,Bangassou,Vougba-Balifondo,CF6213_YON_0002,YONGOSSABA 1,oui,42,210,0,42,non,0,0,0,0,non,0,0,0,0,5,en_partie,oui_majorite,en_partie,moyen
Mbomou,Bangassou,Vougba-Balifondo,CF6213_YON_0001,YONGOSSABA 2,oui,24,124,0,24,non,0,0,0,0,non,0,0,0,0,3,oui_majorite,en_partie,en_partie,moyen
Mbomou,Bangassou,Vougba-Balifondo,CF6213_ZAL_0001,ZALOUA,oui,6,175,0,6,oui,40,200,0,40,oui,17,85,0,17,3,oui_toutes,oui_majorite,en_partie,eleve
Mbomou,Bangassou,Vougba-Balifondo,CF6213_ZOB_0001,ZOBE MBARI,oui,13,68,0,13,non,0,0,0,0,non,0,0,0,0,3,oui_majorite,en_partie,en_partie,eleve
Mbomou,Bangassou,Zandadou,CF6214_AGO_0001,AGOUMAR,oui,166,629,0,166,non,0,0,0,0,non,0,0,0,0,4,oui_majorite,oui_majorite,en_partie,eleve
Mbomou,Bangassou,Zandadou,CF6214_AHO_0001,AHOU 1,oui,147,563,0,147,non,0,0,0,0,non,0,0,0,0,4,oui_majorite,en_partie,oui_majorite,moyen
Mbomou,Bangassou,Zandadou,CF6214_BAD_0001,BADOUNGOU,oui,24,125,0,24,non,0,0,0,0,non,0,0,0,0,3,en_partie,oui_majorite,en_partie,moyen
Mbomou,Bangassou,Zandadou,CF6214_GBA_0003,GBANGA 1,oui,1,1,0,1,non,0,0,0,0,oui,15,92,0,15,3,en_partie,oui_majorite,oui_majorite,eleve
Mbomou,Bangassou,Zandadou,CF6214_GBA_0002,GBANGA 2,oui,15,105,0,15,non,0,0,0,0,non,0,0,0,0,3,en_partie,en_partie,en_partie,acceptable
Mbomou,Bangassou,Zandadou,CF6214_LAB_0001,LABASSO,oui,42,130,0,42,non,0,0,0,0,non,0,0,0,0,3,oui_majorite,oui_majorite,en_partie,eleve
Mbomou,Bangassou,Zandadou,CF6214_LAN_0002,LANOME 1,oui,45,242,0,45,non,0,0,0,0,non,0,0,0,0,4,en_partie,en_partie,en_partie,acceptable
Mbomou,Bangassou,Zandadou,CF6214_LIG_0001,LIGANOUNGA,oui,42,205,0,42,oui,71,296,0,71,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Mbomou,Bangassou,Zandadou,CF6214_NGO_0001,NGOMBI,oui,222,1110,0,222,oui,592,2964,0,592,oui,77,384,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Mbomou,Bangassou,Zandadou,CF6214_PAN_0001,PANDE,oui,170,384,0,170,non,0,0,0,0,non,0,0,0,0,3,oui_majorite,en_partie,en_partie,moyen
Mbomou,Bangassou,Zandadou,CF6214_YON_0001,YONGOFONGO 1,oui,51,235,0,51,non,0,0,0,0,non,0,0,0,0,3,oui_majorite,oui_majorite,oui_majorite,eleve
Mbomou,Bangassou,Zandadou,CF6214_YON_0003,YONGOFONGO 2,oui,64,357,0,64,non,0,0,0,0,non,0,0,0,0,3,oui_majorite,en_partie,oui_majorite,eleve
Mbomou,Bangassou,Zandadou,CF6214_ZIM_0001,ZIME-FLEUVE,oui,245,1190,0,245,oui,64,317,0,64,oui,39,186,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Mbomou,Gambo,Gambo,CF6231_ADO_0001,ADOUM TRACAFF,oui,24,176,0,24,oui,8,31,0,8,non,0,0,0,0,3,oui_majorite,oui_majorite,oui_toutes,acceptable
Mbomou,Gambo,Gambo,CF6231_AMA_0001,AMANI,non,0,0,0,0,oui,94,470,0,94,oui,2,11,0,2,3,oui_majorite,oui_majorite,oui_majorite,tres_eleve
Mbomou,Gambo,Gambo,CF6231_BAB_0000,BABALA,oui,19,95,0,19,oui,19,93,0,19,non,0,0,0,0,3,oui_majorite,oui_majorite,en_partie,acceptable
Mbomou,Gambo,Gambo,CF6231_BAB_0001,BABOUDOU,non,0,0,0,0,oui,9,45,0,9,non,0,0,0,0,4,en_partie,oui_majorite,en_partie,moyen
Mbomou,Gambo,Gambo,CF6231_BAG_0001,BAGUINI,oui,12,47,0,12,non,0,0,0,0,non,0,0,0,0,3,oui_majorite,oui_majorite,oui_majorite,acceptable
Mbomou,Gambo,Gambo,CF6231_BAL_0001,BALADOU,non,0,0,0,0,oui,40,202,0,40,non,0,0,0,0,3,oui_majorite,oui_majorite,oui_majorite,eleve
Mbomou,Gambo,Gambo,CF6231_BAM_0001,BAMBIYO,oui,9,40,0,9,non,0,0,0,0,non,0,0,0,0,4,oui_majorite,oui_majorite,oui_majorite,eleve
Mbomou,Gambo,Gambo,CF6231_BAO_0001,BAO,oui,48,238,0,48,oui,118,588,0,118,non,0,0,0,0,5,oui_majorite,oui_majorite,en_partie,acceptable
Mbomou,Gambo,Gambo,CF6231_BAO_0000,BAOULEBASSO,oui,2,12,0,2,oui,40,194,0,40,non,0,0,0,0,3,oui_majorite,oui_majorite,en_partie,acceptable
Mbomou,Gambo,Gambo,CF6231_BIS_0001,BISSANGO,non,0,0,0,0,oui,73,361,0,73,oui,2,10,0,2,3,oui_majorite,oui_majorite,oui_majorite,eleve
Mbomou,Gambo,Gambo,CF6231_GAN_0000,GANDAKOTOTI,oui,168,807,0,168,non,0,0,0,0,non,0,0,0,0,3,oui_majorite,oui_majorite,oui_majorite,acceptable
Mbomou,Gambo,Gambo,CF6231_KAO_0001,KAOUNGA,non,0,0,0,0,oui,29,144,0,29,oui,1,5,0,1,3,oui_majorite,oui_majorite,oui_majorite,tres_eleve
Mbomou,Gambo,Gambo,CF6231_LAB_0001,LABRAYE,oui,2,5,0,2,oui,11,66,0,11,non,0,0,0,0,3,oui_majorite,oui_toutes,oui_majorite,eleve
Mbomou,Gambo,Gambo,CF6231_MAB_0001,MABO,oui,19,64,0,19,non,0,0,0,0,non,0,0,0,0,3,oui_majorite,oui_majorite,oui_majorite,acceptable
Mbomou,Gambo,Gambo,CF6231_MAN_0001,MANGO,non,0,0,0,0,oui,30,176,0,30,non,0,0,0,0,3,oui_majorite,oui_majorite,oui_majorite,acceptable
Mbomou,Gambo,Gambo,CF6231_MBA_0002,MBALAPA,non,0,0,0,0,oui,40,200,0,40,non,0,0,0,0,3,oui_majorite,oui_majorite,oui_majorite,eleve
Mbomou,Gambo,Gambo,CF6231_MBA_0000,MBANGO,oui,41,202,0,41,oui,133,661,0,133,non,0,0,0,0,4,oui_majorite,oui_majorite,en_partie,acceptable
Mbomou,Gambo,Gambo,CF6231_MBA_0001,MBARAGNE,oui,3,9,0,3,oui,11,65,0,11,non,0,0,0,0,3,oui_majorite,oui_majorite,oui_majorite,acceptable
Mbomou,Gambo,Gambo,CF6231_MBR_0000,MBRINGA,oui,20,100,0,20,oui,104,503,0,104,non,0,0,0,0,4,oui_majorite,oui_majorite,en_partie,eleve
Mbomou,Gambo,Gambo,CF6231_NDO_0001,NDOUNGA,oui,7,39,0,7,non,0,0,0,0,non,0,0,0,0,4,oui_majorite,oui_majorite,oui_majorite,tres_eleve
Mbomou,Gambo,Gambo,CF6231_NGB_0002,NGBANDI BOSSO,oui,3,15,0,3,oui,21,107,0,21,non,0,0,0,0,3,oui_majorite,oui_majorite,oui_majorite,acceptable
Mbomou,Gambo,Gambo,CF6231_NGO_0001,NGORO,oui,6,32,0,6,non,0,0,0,0,non,0,0,0,0,5,oui_majorite,oui_majorite,en_partie,acceptable
Mbomou,Gambo,Gambo,CF6231_NGU_0002,NGUINDO-KETTE,non,0,0,0,0,oui,50,247,0,50,non,0,0,0,0,3,oui_majorite,oui_majorite,oui_majorite,eleve
Mbomou,Gambo,Gambo,CF6231_SAM_0002,SAMANZAI,oui,20,129,0,20,non,0,0,0,0,non,0,0,0,0,5,oui_majorite,en_partie,en_partie,moyen
Mbomou,Gambo,Gambo,CF6231_SAM_0000,SAMBIA,oui,63,318,0,63,oui,69,343,0,69,non,0,0,0,0,7,oui_majorite,oui_majorite,en_partie,eleve
Mbomou,Gambo,Gambo,CF6231_SOC_0000,SOCADA,oui,16,79,0,16,oui,83,414,0,83,non,0,0,0,0,4,oui_majorite,oui_majorite,en_partie,acceptable
Mbomou,Gambo,Gambo,CF6231_VOU_0002,VOULOUNGBA,oui,12,64,0,12,oui,16,84,0,16,non,0,0,0,0,3,oui_majorite,oui_majorite,oui_majorite,acceptable
Mbomou,Gambo,Gambo,CF6231_YEN_0001,YENGUE,non,0,0,0,0,oui,47,232,0,47,oui,4,20,0,4,3,oui_majorite,oui_majorite,oui_majorite,eleve
Mbomou,Gambo,Gambo,CF6231_YET_0001,YETIZO,oui,6,41,0,6,non,0,0,0,0,non,0,0,0,0,3,oui_majorite,oui_majorite,oui_majorite,acceptable
Mbomou,Ouango,Ngbandinga,CF6222_AND_0001,ANDAYE,non,0,0,0,0,non,0,0,0,0,oui,171,609,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Mbomou,Ouango,Ngbandinga,CF6222_GBI_0001,GBIAKETTE,non,0,0,0,0,non,0,0,0,0,oui,110,450,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Mbomou,Ouango,Ngbandinga,CF6222_KEM_0001,KEMBA,oui,12,62,0,12,non,0,0,0,0,oui,684,2570,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Mbomou,Ouango,Ngbandinga,CF6222_KOD_0001,KODRONGUE,non,0,0,0,0,non,0,0,0,0,oui,150,750,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Mbomou,Ouango,Ngbandinga,CF6222_MBO_0001,MBONZIRIRI,non,0,0,0,0,oui,15,58,0,15,oui,195,800,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Mbomou,Ouango,Ngbandinga,CF6222_NGO_0001,NGOMBE,non,0,0,0,0,non,0,0,0,0,oui,1847,9508,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Mbomou,Ouango,Ngbandinga,CF6222_NGU_0001,NGUENGUE,oui,4,15,0,4,non,0,0,0,0,oui,102,430,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Mbomou,Ouango,Ngbandinga,CF6222_NZI_0001,NZIANGBA,non,0,0,0,0,non,0,0,0,0,oui,59,270,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Mbomou,Ouango,Ngbandinga,CF6222_TOK_0001,TOKI,non,0,0,0,0,non,0,0,0,0,oui,205,1022,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Mbomou,Ouango,Ouango,CF6221_BAG_0001,BAGBABA,oui,37,185,0,37,oui,125,457,0,125,oui,15,75,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Mbomou,Ouango,Ouango,CF6221_BOT_0001,BOTOWA,oui,12,60,0,12,non,0,0,0,0,non,0,0,0,0,3,oui_majorite,oui_majorite,oui_majorite,eleve
Mbomou,Ouango,Ouango,CF6221_FAL_0001,FALANZE,oui,26,175,0,26,non,0,0,0,0,non,0,0,0,0,4,oui_majorite,oui_majorite,oui_majorite,eleve
Mbomou,Ouango,Ouango,CF6221_GNI_0001,GNILO,oui,18,65,0,18,non,0,0,0,0,non,0,0,0,0,3,oui_majorite,oui_majorite,oui_majorite,tres_eleve
Mbomou,Ouango,Ouango,CF6221_GOM_0001,GOMBA,oui,47,235,0,47,non,0,0,0,0,non,0,0,0,0,4,oui_majorite,oui_majorite,oui_majorite,eleve
Mbomou,Ouango,Ouango,CF6221_GOZ_0001,GOZOMBANGUI,oui,38,190,0,38,oui,138,690,0,138,oui,11,43,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Mbomou,Ouango,Ouango,CF6221_KAM_0001,KAMOBAYA,oui,2,11,0,2,non,0,0,0,0,oui,90,452,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Mbomou,Ouango,Ouango,CF6221_KOB_0001,KOBOKO,oui,51,175,0,51,oui,16,80,0,16,oui,55,275,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Mbomou,Ouango,Ouango,CF6221_KOU_0001,KOULET,oui,26,107,0,26,non,0,0,0,0,non,0,0,0,0,3,oui_majorite,oui_majorite,oui_majorite,tres_eleve
Mbomou,Ouango,Ouango,CF6221_LOU_0001,LOUNGOUNGBA,oui,1211,5603,0,1211,non,0,0,0,0,non,0,0,0,0,3,oui_majorite,oui_majorite,oui_majorite,eleve
Mbomou,Ouango,Ouango,CF6221_MAD_0001,MADAGBANDI,oui,37,200,0,37,non,0,0,0,0,non,0,0,0,0,3,oui_majorite,oui_majorite,oui_majorite,acceptable
Mbomou,Ouango,Ouango,CF6221_MAG_0001,MAGAMBA,oui,81,407,0,81,non,0,0,0,0,non,0,0,0,0,3,oui_majorite,oui_majorite,oui_majorite,eleve
Mbomou,Ouango,Ouango,CF6221_MAH_0001,MAHAMATH ALI,oui,16,79,0,16,non,0,0,0,0,non,0,0,0,0,3,oui_majorite,oui_majorite,oui_majorite,moyen
Mbomou,Ouango,Ouango,CF6221_MAL_0001,MALANGAMBA,oui,24,107,0,24,non,0,0,0,0,non,0,0,0,0,4,oui_majorite,oui_majorite,oui_majorite,eleve
Mbomou,Ouango,Ouango,CF6221_MAM_0001,MAMADOU BAMBE,oui,43,127,0,43,non,0,0,0,0,non,0,0,0,0,4,oui_majorite,oui_majorite,oui_majorite,moyen
Mbomou,Ouango,Ouango,CF6221_MBA_0001,MBAMBALE,oui,56,270,0,56,non,0,0,0,0,non,0,0,0,0,3,oui_majorite,oui_majorite,oui_majorite,acceptable
Mbomou,Ouango,Ouango,CF6221_MOU_0001,MOUSSA,oui,33,155,0,33,non,0,0,0,0,non,0,0,0,0,3,oui_majorite,oui_majorite,oui_majorite,eleve
Mbomou,Ouango,Ouango,CF6221_NDE_0001,NDEKOMISSO,non,0,0,0,0,non,0,0,0,0,oui,203,898,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Mbomou,Ouango,Ouango,CF6221_NDO_0001,NDOGBA,oui,8,37,0,8,non,0,0,0,0,non,0,0,0,0,3,oui_majorite,oui_majorite,oui_majorite,eleve
Mbomou,Ouango,Ouango,CF6221_NGA_0001,NGALAKPA,oui,15,75,0,15,non,0,0,0,0,non,0,0,0,0,3,oui_majorite,oui_majorite,oui_majorite,moyen
Mbomou,Ouango,Ouango,CF6221_OUA_0001,OUAGO KOTTA,oui,12,60,0,12,non,0,0,0,0,non,0,0,0,0,3,oui_majorite,oui_majorite,oui_majorite,moyen
Mbomou,Ouango,Ouango,CF6221_OUA_0006,OUAZZOUA 2,oui,123,585,0,123,non,0,0,0,0,non,0,0,0,0,3,oui_majorite,oui_majorite,oui_majorite,moyen
Mbomou,Ouango,Ouango,CF6221_OUA_0002,OUAZZOUA 3,oui,38,162,0,38,non,0,0,0,0,non,0,0,0,0,3,oui_majorite,oui_majorite,oui_majorite,eleve
Mbomou,Ouango,Ouango,CF6221_OUA_0003,OUAZZOUA 4,oui,87,466,0,87,non,0,0,0,0,non,0,0,0,0,3,oui_majorite,oui_majorite,oui_majorite,eleve
Mbomou,Ouango,Ouango,CF6221_OUA_0004,OUAZZOUA PLANTATION,oui,47,228,0,47,non,0,0,0,0,non,0,0,0,0,3,oui_majorite,oui_majorite,oui_majorite,eleve
Mbomou,Ouango,Ouango,CF6221_OUE_0001,OUEGUE,oui,28,130,0,28,non,0,0,0,0,non,0,0,0,0,3,oui_majorite,en_partie,en_partie,moyen
Mbomou,Ouango,Ouango,CF6221_YAK_0001,YAKOSSOUA,oui,7,37,0,7,non,0,0,0,0,non,0,0,0,0,3,oui_majorite,oui_majorite,oui_majorite,eleve
Mbomou,Ouango,Ouango,CF6221_YEN_0001,YENZIA,oui,68,136,0,68,non,0,0,0,0,non,0,0,0,0,3,oui_majorite,oui_majorite,oui_majorite,acceptable
Mbomou,Ouango,Ouango,CF6221_YOL_0001,YOLOUNGOU,oui,25,125,0,25,oui,22,100,0,22,oui,98,450,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Mbomou,Ouango,Ouango,CF6221_ZEG_0001,ZEGUI,oui,25,135,0,25,non,0,0,0,0,non,0,0,0,0,4,oui_majorite,oui_majorite,oui_majorite,eleve
Mbomou,Rafai,Rafaï,CF6241_AGO_0000,AGOUMAR,non,0,0,0,0,oui,9,43,0,9,oui,1,1,0,1,3,oui_majorite,oui_majorite,oui_majorite,eleve
Mbomou,Rafai,Rafaï,CF6241_AGO_0002,AGOUMAR 2,oui,35,207,0,35,non,0,0,0,0,non,0,0,0,0,3,oui_majorite,oui_majorite,oui_majorite,moyen
Mbomou,Rafai,Rafaï,CF6241_AGO_0003,AGOUMAR 3,oui,389,1774,0,389,non,0,0,0,0,non,0,0,0,0,3,oui_majorite,oui_majorite,oui_majorite,moyen
Mbomou,Rafai,Rafaï,CF6241_AGO_0001,AGOUMAR 4,oui,64,318,0,64,oui,23,82,0,23,non,0,0,0,0,3,oui_majorite,oui_majorite,oui_majorite,eleve
Mbomou,Rafai,Rafaï,CF6241_AIM_0001,AIM,oui,189,1265,189,0,non,0,0,0,0,oui,3,17,2,1,3,oui_majorite,oui_majorite,oui_majorite,acceptable
Mbomou,Rafai,Rafaï,CF6241_ARA_0000,ARABE,oui,336,532,0,336,oui,2,6,0,2,non,0,0,0,0,3,oui_majorite,oui_majorite,oui_majorite,acceptable
Mbomou,Rafai,Rafaï,CF6241_BAG_0001,BAGBOULA,oui,19,98,0,19,non,0,0,0,0,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Mbomou,Rafai,Rafaï,CF6241_BAN_0001,BANDASSI,oui,55,266,0,55,oui,12,57,0,12,non,0,0,0,0,3,oui_majorite,oui_majorite,en_partie,acceptable
Mbomou,Rafai,Rafaï,CF6241_BAR_0001,BARADOU,oui,65,322,0,65,non,0,0,0,0,non,0,0,0,0,3,oui_majorite,oui_majorite,oui_majorite,acceptable
Mbomou,Rafai,Rafaï,CF6241_BIN_0001,BINGBA 1,non,0,0,0,0,oui,82,330,0,82,non,0,0,0,0,3,oui_majorite,oui_majorite,oui_majorite,acceptable
Mbomou,Rafai,Rafaï,CF6241_BIN_0002,BINGBA 2,oui,34,119,0,34,non,0,0,0,0,non,0,0,0,0,3,oui_majorite,oui_majorite,oui_majorite,acceptable
Mbomou,Rafai,Rafaï,CF6241_BIN_0003,BINGBA 3,oui,740,3466,284,456,non,0,0,0,0,non,0,0,0,0,3,oui_majorite,oui_majorite,oui_majorite,moyen
Mbomou,Rafai,Rafaï,CF6241_DEM_0001,DEMBIA,oui,136,667,0,136,non,0,0,0,0,oui,78,521,0,78,3,oui_majorite,oui_majorite,oui_majorite,acceptable
Mbomou,Rafai,Rafaï,CF6241_GOU_0001,GOULA,non,0,0,0,0,oui,4,12,0,4,non,0,0,0,0,3,oui_majorite,oui_majorite,oui_majorite,acceptable
Mbomou,Rafai,Rafaï,CF6241_GUE_0001,GUEREKINDO,oui,40,178,0,40,non,0,0,0,0,oui,1,3,0,1,3,oui_majorite,oui_majorite,oui_majorite,acceptable
Mbomou,Rafai,Rafaï,CF6241_KPE_0000,KPETE,oui,96,486,0,96,non,0,0,0,0,non,0,0,0,0,3,oui_majorite,oui_majorite,oui_majorite,moyen
Mbomou,Rafai,Rafaï,CF6241_LON_0000,LONGBA,oui,45,226,0,45,non,0,0,0,0,non,0,0,0,0,3,oui_majorite,oui_majorite,oui_majorite,moyen
Mbomou,Rafai,Rafaï,CF6241_LOU_0001,LOUETE,oui,13,49,0,13,non,0,0,0,0,oui,13,26,0,13,3,oui_majorite,oui_majorite,oui_majorite,acceptable
Mbomou,Rafai,Rafaï,CF6241_MIS_0001,MISKINE,non,0,0,0,0,oui,5,17,0,5,non,0,0,0,0,3,oui_majorite,oui_majorite,oui_majorite,acceptable
Mbomou,Rafai,Rafaï,CF6241_NGO_0001,NGOUNZA 1,non,0,0,0,0,oui,2,13,0,2,non,0,0,0,0,3,oui_majorite,oui_majorite,oui_majorite,moyen
Mbomou,Rafai,Rafaï,CF6241_NGO_0002,NGOUNZA 2,oui,54,267,0,54,oui,58,307,0,58,non,0,0,0,0,3,oui_majorite,oui_majorite,oui_majorite,acceptable
Mbomou,Rafai,Rafaï,CF6241_OUM_0001,OUMAR,oui,105,523,0,105,oui,13,60,0,13,oui,7,27,0,7,3,oui_majorite,oui_majorite,oui_majorite,acceptable
Mbomou,Rafai,Rafaï,CF6241_SAM_0001,SAMBALA,non,0,0,0,0,oui,305,1519,0,305,oui,26,121,0,26,3,oui_majorite,oui_majorite,oui_majorite,acceptable
Mbomou,Rafai,Rafaï,CF6241_SAN_0000,SANDOU,oui,495,2830,460,35,non,0,0,0,0,non,0,0,0,0,3,oui_majorite,oui_majorite,oui_majorite,acceptable
Mbomou,Rafai,Rafaï,CF6241_SEL_0002,SELIME 1,oui,67,237,0,67,non,0,0,0,0,oui,8,28,0,8,3,oui_majorite,oui_majorite,oui_majorite,acceptable
Mbomou,Rafai,Rafaï,CF6241_SEL_0003,SELIME 2,oui,197,860,0,197,non,0,0,0,0,non,0,0,0,0,3,oui_majorite,oui_majorite,oui_majorite,acceptable
