,VillageAll,GPS.point,admin1Name,admin1Pcod,admin2,admin2Pcod,admin3Name,admin3Pcod,TotalPop_fixe,VillageAll_test,VillageAll_admin2
1, Abbo Boyafe,"15.464091,5.207386",Nana-Mambï¿½,CF22,Abba,CF224,Nadziboro,CF2242,411.824223,abboboyafe,abboboyafe _ Abba
2, Adoum,"20.5684359999999,5.834778",Ouaka,CF43,Bambari,CF431,Pladama-Ouaka,CF4314,858.37856,adoum,adoum _ Bambari
3, Amada-Gaza,"15.1956019999999,4.772098",Mambï¿½ï¿½ï¿½,CF21,Amada-Gaza,CF214,Haute-Boumbï,CF2141,2928.447822,amada-gaza,amada-gaza _ Amada-Gaza
4, Amani,"21.9801919999999,4.652996",Mbomou,CF62,Gambo,CF623,Gambo,CF6231,613.180597,amani,amani _ Gambo
5, Ambang,"15.337197,3.77884",Mambï¿½ï¿½ï¿½,CF21,Dede-Mokouba,CF216,Haute-Kadï¿,CF2161,1812.962263,ambang,ambang _ Dede-Mokouba
6, Ambauchure,"18.582974,3.678799",Lobaye,CF12,Mongoumba,CF122,Mongoumba,CF1221,422.372429,ambauchure,ambauchure _ Mongoumba
7, Anafio,"17.3256799999999,6.896445",Ouham,CF32,Nana-Bakassa,CF322,Nana-Bakassa,CF3221,3331.246787,anafio,anafio _ Nana-Bakassa
8, Aradi,"15.327247,4.540679",Mambï¿½ï¿½ï¿½,CF21,Berberati,CF211,Ouakanga,CF2113,2195.027237,aradi,aradi _ Berberati
9, Army,"22.611547,10.3675029999999",Vakaga,CF53,Birao,CF531,Ridina,CF5311,317.733655,army,army _ Birao
10, Assoulemaka,"19.661434,6.031003",Kï¿½,CF41,Mala,CF413,Mala,CF4131,988.842996,assoulemaka,assoulemaka _ Mala
11, Babanon,"18.332798,5.825515",Ouham,CF32,Bouca,CF325,Fafa Boungou,CF3254,993.745497,babanon,babanon _ Bouca
13, Babili,"17.230072,4.601566",Lobaye,CF12,Boganda,CF125,Boganda,CF1251,415.086586,babili,babili _ Boganda
