PName1,PName2,PName3,PName4,RowcaCode4,DESCRIPTIO,CNTRY_NAME,ADM1_NAME,ADM2_NAME,ADM3_NAME,RowcaCode1,RowcaCode2,RowcaCode3
Agoubissi, ,0,0,CAF0430040020001,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Arabe, ,0,0,CAF0430040020002,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Banda Ekao, ,0,0,CAF0430040020003,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Banga, ,0,0,CAF0430040020004,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Banga 2, ,0,0,CAF0430040020005,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Bangao,Bangao 1,0,0,CAF0430040020006,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Bangao 2, ,0,0,CAF0430040020007,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Bangao 3, ,0,0,CAF0430040020008,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Bangao 4, ,0,0,CAF0430040020009,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Bangba, ,0,0,CAF0430040020010,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Bangba-Kandjia, ,0,0,CAF0430040020011,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Bolo 1, ,0,0,CAF0430040020012,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Bolo 2, ,0,0,CAF0430040020013,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Bombala 2, ,0,0,CAF0430040020014,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Bombala 3, ,0,0,CAF0430040020015,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Borola 1, ,0,0,CAF0430040020016,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Boroto, ,0,0,CAF0430040020017,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Botcho, ,0,0,CAF0430040020018,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Bouasse, ,0,0,CAF0430040020019,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Bouasse 2, ,0,0,CAF0430040020020,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
