"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"315","ig_15_rtr_ret_rapat",NA,"meilleure_assist_human",NA,0.148124498568788,NA,NA,NA,"admin_0","RCA"
"414","ig_15_rtr_ret_rapat",NA,"meilleure_qualite_vie",NA,0.118139152535679,NA,NA,NA,"admin_0","RCA"
"514","ig_15_rtr_ret_rapat",NA,"meilleures_secu",NA,0.0815484443218373,NA,NA,NA,"admin_0","RCA"
"611","ig_15_rtr_ret_rapat",NA,"moins_assist_human",NA,0.0424001730724507,NA,NA,NA,"admin_0","RCA"
"74","ig_15_rtr_ret_rapat",NA,"moins_qualite_vie",NA,0.0954936535066555,NA,NA,NA,"admin_0","RCA"
"84","ig_15_rtr_ret_rapat",NA,"moins_secu",NA,0.0148779341046844,NA,NA,NA,"admin_0","RCA"
"92","ig_15_rtr_ret_rapat",NA,"nsp",NA,0.00487521687073007,NA,NA,NA,"admin_0","RCA"
"101","ig_15_rtr_ret_rapat",NA,"raison_eco",NA,0.0419279011021183,NA,NA,NA,"admin_0","RCA"
"11","ig_15_rtr_ret_rapat",NA,"regroup_fam",NA,0.433019308769984,NA,NA,NA,"admin_0","RCA"
"12","ig_15_rtr_ret_rapat",NA,"tensions_communautaires",NA,0.0109807733094612,NA,NA,NA,"admin_0","RCA"
"dependent.var1","ig_6_hh_membres_tot","NA","NA","NA",5.86715619084477,NA,NA,NA,"admin_0","RCA"
"118","ig_9_hote_fa",NA,"non",NA,0.83117202506053,NA,NA,NA,"admin_0","RCA"
"218","ig_9_hote_fa",NA,"nsp",NA,0.00380797588803387,NA,NA,NA,"admin_0","RCA"
"316","ig_9_hote_fa",NA,"oui",NA,0.165019999051436,NA,NA,NA,"admin_0","RCA"
"dependent.var2","ig_10_hote_fa_0_4","NA","NA","NA",1.27890538911258,NA,NA,NA,"admin_0","RCA"
"dependent.var3","ig_10_hote_fa_5_17","NA","NA","NA",1.37705827184556,NA,NA,NA,"admin_0","RCA"
"dependent.var4","ig_10_hote_fa_18plus","NA","NA","NA",1.16109881806213,NA,NA,NA,"admin_0","RCA"
"119","bache",NA,"non",NA,0.873794286323865,NA,NA,NA,"admin_0","RCA"
"219","bache",NA,"oui",NA,0.126205713676135,NA,NA,NA,"admin_0","RCA"
"120","kit_cuisine",NA,"aucun",NA,0.138795788866835,NA,NA,NA,"admin_0","RCA"
"220","kit_cuisine",NA,"complet",NA,0.0169517810042467,NA,NA,NA,"admin_0","RCA"
"317","kit_cuisine",NA,"incomp",NA,0.844252430128918,NA,NA,NA,"admin_0","RCA"
"121","habits_femmes_enfants",NA,"aucun",NA,0.0719314664212546,NA,NA,NA,"admin_0","RCA"
"221","habits_femmes_enfants",NA,"incomp",NA,0.734110754708771,NA,NA,NA,"admin_0","RCA"
"318","habits_femmes_enfants",NA,"tous",NA,0.193957778869974,NA,NA,NA,"admin_0","RCA"
"122","doc_legale",NA,"aucun",NA,0.408785431402734,NA,NA,NA,"admin_0","RCA"
"222","doc_legale",NA,"incomp",NA,0.385903926624692,NA,NA,NA,"admin_0","RCA"
"319","doc_legale",NA,"tous",NA,0.205310641972574,NA,NA,NA,"admin_0","RCA"
"dependent.var5","doc_legale_nb_filles","NA","NA","NA",0.80496227072721,NA,NA,NA,"admin_0","RCA"
"dependent.var6","doc_legale_nb_garcons","NA","NA","NA",0.81292487615416,NA,NA,NA,"admin_0","RCA"
"dependent.var7","doc_legale_nb_femmes","NA","NA","NA",0.538550400206597,NA,NA,NA,"admin_0","RCA"
"dependent.var8","doc_legale_nb_hommes","NA","NA","NA",0.674132547727704,NA,NA,NA,"admin_0","RCA"
"123","doc_propriete",NA,"aucun",NA,0.570506274523435,NA,NA,NA,"admin_0","RCA"
"223","doc_propriete",NA,"complet",NA,0.0732301093224332,NA,NA,NA,"admin_0","RCA"
"320","doc_propriete",NA,"incomp",NA,0.356263616154132,NA,NA,NA,"admin_0","RCA"
"124","semence",NA,"aucun",NA,0.412470251497471,NA,NA,NA,"admin_0","RCA"
"224","semence",NA,"insuff",NA,0.56020041213423,NA,NA,NA,"admin_0","RCA"
"321","semence",NA,"suff",NA,0.0273293363682997,NA,NA,NA,"admin_0","RCA"
"125","outils_aratoires",NA,"aucun",NA,0.403870022492206,NA,NA,NA,"admin_0","RCA"
"225","outils_aratoires",NA,"insuff",NA,0.583941291928946,NA,NA,NA,"admin_0","RCA"
"322","outils_aratoires",NA,"suff",NA,0.0121886855788486,NA,NA,NA,"admin_0","RCA"
"126","cendres",NA,"non",NA,0.70805056552739,NA,NA,NA,"admin_0","RCA"
"226","cendres",NA,"oui",NA,0.291949434472611,NA,NA,NA,"admin_0","RCA"
"dependent.var9","savon_toilette_azur","NA","NA","NA",0.657304251127323,NA,NA,NA,"admin_0","RCA"
"dependent.var10","savon_lessive","NA","NA","NA",1.92299352532626,NA,NA,NA,"admin_0","RCA"
"dependent.var11","pot","NA","NA","NA",0.202629830848499,NA,NA,NA,"admin_0","RCA"
"dependent.var12","gobelet","NA","NA","NA",2.89613971926134,NA,NA,NA,"admin_0","RCA"
"dependent.var13","serviette_hyg","NA","NA","NA",0.830644416868086,NA,NA,NA,"admin_0","RCA"
"dependent.var14","bidons_cap","NA","NA","NA",45.8231893153236,NA,NA,NA,"admin_0","RCA"
"127","nfi_2_type_abri",NA,"abri_urgence",NA,0.0868892609916906,NA,NA,NA,"admin_0","RCA"
"227","nfi_2_type_abri",NA,"aucun",NA,0.000670948922340095,NA,NA,NA,"admin_0","RCA"
"323","nfi_2_type_abri",NA,"autre",NA,0.0266406462101381,NA,NA,NA,"admin_0","RCA"
"415","nfi_2_type_abri",NA,"habitat_paille",NA,0.640842055202535,NA,NA,NA,"admin_0","RCA"
"515","nfi_2_type_abri",NA,"maison_dur",NA,0.24446140101384,NA,NA,NA,"admin_0","RCA"
"612","nfi_2_type_abri",NA,"nsp",NA,0.000495687659456697,NA,NA,NA,"admin_0","RCA"
"128","nfi_propr_abri_propre",NA,"non",NA,0.202808163857749,NA,NA,NA,"admin_0","RCA"
"228","nfi_propr_abri_propre",NA,"nsp",NA,0.00115901361270276,NA,NA,NA,"admin_0","RCA"
"324","nfi_propr_abri_propre",NA,"oui",NA,0.796032822529548,NA,NA,NA,"admin_0","RCA"
"129","nfi_propr_abri",NA,"autre",NA,0.113227825331932,NA,NA,NA,"admin_0","RCA"
"229","nfi_propr_abri",NA,"location",NA,0.38462076514057,NA,NA,NA,"admin_0","RCA"
"325","nfi_propr_abri",NA,"nsp",NA,7.72007084460548e-07,NA,NA,NA,"admin_0","RCA"
"416","nfi_propr_abri",NA,"occupe",NA,0.0420022040719961,NA,NA,NA,"admin_0","RCA"
"516","nfi_propr_abri",NA,"pret",NA,0.460077399271842,NA,NA,NA,"admin_0","RCA"
"613","nfi_propr_abri",NA,"TRUE",NA,7.10341765746853e-05,NA,NA,NA,"admin_0","RCA"
"dependent.var15","nfi_4_personnes_abri","NA","NA","NA",6.21995431018333,NA,NA,NA,"admin_0","RCA"
"dependent.var16","nfi_5_taille_abri","NA","NA","NA",30.1836817876994,NA,NA,NA,"admin_0","RCA"
"130","mssc_1_revenu",NA,"1_50000",NA,0.623810226288991,NA,NA,NA,"admin_0","RCA"
"230","mssc_1_revenu",NA,"100001_150000",NA,0.067372324970315,NA,NA,NA,"admin_0","RCA"
"326","mssc_1_revenu",NA,"150001_200000",NA,0.0200229512833801,NA,NA,NA,"admin_0","RCA"
"417","mssc_1_revenu",NA,"200001_300000",NA,0.00214024976803463,NA,NA,NA,"admin_0","RCA"
"517","mssc_1_revenu",NA,"300001_500000",NA,0.00450720851120103,NA,NA,NA,"admin_0","RCA"
"614","mssc_1_revenu",NA,"500001_plus",NA,0.00193965990982719,NA,NA,NA,"admin_0","RCA"
"75","mssc_1_revenu",NA,"50001_100000",NA,0.229529702984392,NA,NA,NA,"admin_0","RCA"
"85","mssc_1_revenu",NA,"none",NA,0.0106140776469767,NA,NA,NA,"admin_0","RCA"
"93","mssc_1_revenu",NA,"nsp",NA,0.0400635986368821,NA,NA,NA,"admin_0","RCA"
"dependent.var17","mssc_3_dep_30j_alim","NA","NA","NA",18779.7258032948,NA,NA,NA,"admin_0","RCA"
"dependent.var18","mssc_3_dep_30j_elec","NA","NA","NA",579.854989040954,NA,NA,NA,"admin_0","RCA"
"dependent.var19","mssc_3_dep_30j_eau","NA","NA","NA",1037.70732279932,NA,NA,NA,"admin_0","RCA"
"dependent.var20","mssc_3_dep_30j_logement","NA","NA","NA",914.361731183891,NA,NA,NA,"admin_0","RCA"
"dependent.var21","mssc_3_dep_30j_tel","NA","NA","NA",882.898003997097,NA,NA,NA,"admin_0","RCA"
"dependent.var22","mssc_3_dep_30j_comb","NA","NA","NA",1611.81809725994,NA,NA,NA,"admin_0","RCA"
"dependent.var23","mssc_3_dep_30j_transport","NA","NA","NA",2100.24290287911,NA,NA,NA,"admin_0","RCA"
"dependent.var24","mssc_3_dep_30j_hyg","NA","NA","NA",2089.97122625312,NA,NA,NA,"admin_0","RCA"
"dependent.var25","mssc_3_dep_30j_tabac_alc","NA","NA","NA",1217.47917266873,NA,NA,NA,"admin_0","RCA"
"dependent.var26","mssc_4_dep_6m_sante","NA","NA","NA",12690.1114565625,NA,NA,NA,"admin_0","RCA"
"dependent.var27","mssc_4_dep_6m_vet","NA","NA","NA",10378.2405482286,NA,NA,NA,"admin_0","RCA"
"dependent.var28","mssc_4_dep_6m_educ","NA","NA","NA",7297.83184132247,NA,NA,NA,"admin_0","RCA"
"dependent.var29","mssc_4_dep_6m_dettes","NA","NA","NA",3947.36335620753,NA,NA,NA,"admin_0","RCA"
"dependent.var30","mssc_4_dep_6m_construction_log","NA","NA","NA",3795.79861488071,NA,NA,NA,"admin_0","RCA"
"dependent.var31","mssc_4_dep_6m_fete","NA","NA","NA",4066.32572442478,NA,NA,NA,"admin_0","RCA"
"dependent.var32","mssc_4_dep_6m_intr_agr","NA","NA","NA",5466.65795350856,NA,NA,NA,"admin_0","RCA"
"dependent.var33","mssc_4_dep_6m_intr_el","NA","NA","NA",1205.6025281346,NA,NA,NA,"admin_0","RCA"
"131","mssc_6_membres_assoc",NA,"non",NA,0.775154159776777,NA,NA,NA,"admin_0","RCA"
"231","mssc_6_membres_assoc",NA,"nsp",NA,0.00346433616170634,NA,NA,NA,"admin_0","RCA"
"327","mssc_6_membres_assoc",NA,"oui",NA,0.221381504061517,NA,NA,NA,"admin_0","RCA"
"132","mssc_7_acces_forma_prof",NA,"non",NA,0.893875193418595,NA,NA,NA,"admin_0","RCA"
"232","mssc_7_acces_forma_prof",NA,"nsp",NA,0.00373286278906791,NA,NA,NA,"admin_0","RCA"
"328","mssc_7_acces_forma_prof",NA,"oui",NA,0.102391943792337,NA,NA,NA,"admin_0","RCA"
"dependent.var34","secal_1_cereales","NA","NA","NA",5.26426851942381,NA,NA,NA,"admin_0","RCA"
