"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"910","ig_12_idp_length_idp","ig_8_statut_groupe","12_mois_ou_plus","deplaces_site",0.951064286745401,NA,NA,NA,"admin_0","RCA"
"1010","ig_12_idp_length_idp","ig_8_statut_groupe","3_5_mois","deplaces_site",0.00513947875110932,NA,NA,NA,"admin_0","RCA"
"1110","ig_12_idp_length_idp","ig_8_statut_groupe","5_12_mois","deplaces_site",0.0284273603032401,NA,NA,NA,"admin_0","RCA"
"128","ig_12_idp_length_idp","ig_8_statut_groupe","nsp","deplaces_site",0.0100931904012762,NA,NA,NA,"admin_0","RCA"
"129","ig_14_idp_cond_retour","ig_8_statut_groupe","regroup_fam","deplaces_FA",0.211883384748529,NA,NA,NA,"admin_0","RCA"
"213","ig_14_idp_cond_retour","ig_8_statut_groupe","regroup_fam","deplaces_site",0.162520039934396,NA,NA,NA,"admin_0","RCA"
"313","ig_14_idp_cond_retour","ig_8_statut_groupe","acces_emploi","deplaces_FA",0.169330771417632,NA,NA,NA,"admin_0","RCA"
"413","ig_14_idp_cond_retour","ig_8_statut_groupe","acces_emploi","deplaces_site",0.127908602731357,NA,NA,NA,"admin_0","RCA"
"513","ig_14_idp_cond_retour","ig_8_statut_groupe","acces_service","deplaces_FA",0.184235953738866,NA,NA,NA,"admin_0","RCA"
"613","ig_14_idp_cond_retour","ig_8_statut_groupe","acces_service","deplaces_site",0.176898749384212,NA,NA,NA,"admin_0","RCA"
"713","ig_14_idp_cond_retour","ig_8_statut_groupe","secu","deplaces_FA",0.611652679982052,NA,NA,NA,"admin_0","RCA"
"813","ig_14_idp_cond_retour","ig_8_statut_groupe","secu","deplaces_site",0.746447030059575,NA,NA,NA,"admin_0","RCA"
"911","ig_14_idp_cond_retour","ig_8_statut_groupe","acces_abris","deplaces_FA",0.324770919401527,NA,NA,NA,"admin_0","RCA"
"1011","ig_14_idp_cond_retour","ig_8_statut_groupe","acces_abris","deplaces_site",0.497974828859197,NA,NA,NA,"admin_0","RCA"
"1111","ig_14_idp_cond_retour","ig_8_statut_groupe","acces_abri_origine","deplaces_FA",0.124352581724207,NA,NA,NA,"admin_0","RCA"
"1210","ig_14_idp_cond_retour","ig_8_statut_groupe","acces_abri_origine","deplaces_site",0.178481308274359,NA,NA,NA,"admin_0","RCA"
"131","ig_14_idp_cond_retour","ig_8_statut_groupe","acces_mssc","deplaces_FA",0.223008701264144,NA,NA,NA,"admin_0","RCA"
