"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"dependent.var","ig_1_age","NA","NA","NA",38.2035092159066,NA,NA,NA,"admin_0","RCA"
"1","ig_2_sexe",NA,"femme",NA,0.510795022937958,NA,NA,NA,"admin_0","RCA"
"2","ig_2_sexe",NA,"homme",NA,0.489204977062042,NA,NA,NA,"admin_0","RCA"
"110","ig_3_role",NA,"non",NA,0.168713845479861,NA,NA,NA,"admin_0","RCA"
"210","ig_3_role",NA,"oui",NA,0.831286154520139,NA,NA,NA,"admin_0","RCA"
"111","ig_11_idp_rtl",NA,"autre",NA,0.0148286796210081,NA,NA,NA,"admin_0","RCA"
"211","ig_11_idp_rtl",NA,"catastophe_nat",NA,0.00117452436594832,NA,NA,NA,"admin_0","RCA"
"3","ig_11_idp_rtl",NA,"conflit_arme",NA,0.645572321722247,NA,NA,NA,"admin_0","RCA"
"4","ig_11_idp_rtl",NA,"conflit_comm",NA,0.223925917980202,NA,NA,NA,"admin_0","RCA"
"5","ig_11_idp_rtl",NA,"nsp",NA,0.00154684147759719,NA,NA,NA,"admin_0","RCA"
"6","ig_11_idp_rtl",NA,"recherche_mssc",NA,0.0515992650644061,NA,NA,NA,"admin_0","RCA"
"7","ig_11_idp_rtl",NA,"recherche_service",NA,0.0139429319740551,NA,NA,NA,"admin_0","RCA"
"8","ig_11_idp_rtl",NA,"transhumance",NA,0.0474095177945365,NA,NA,NA,"admin_0","RCA"
"112","ig_12_idp_length_idp",NA,"1_3_mois",NA,0.0220372785309425,NA,NA,NA,"admin_0","RCA"
"212","ig_12_idp_length_idp",NA,"1_mois",NA,0.00809160743398073,NA,NA,NA,"admin_0","RCA"
"310","ig_12_idp_length_idp",NA,"12_mois_ou_plus",NA,0.685614025305706,NA,NA,NA,"admin_0","RCA"
"410","ig_12_idp_length_idp",NA,"3_5_mois",NA,0.0854786902049953,NA,NA,NA,"admin_0","RCA"
"510","ig_12_idp_length_idp",NA,"5_12_mois",NA,0.189150526753978,NA,NA,NA,"admin_0","RCA"
"67","ig_12_idp_length_idp",NA,"nsp",NA,0.00962787177039717,NA,NA,NA,"admin_0","RCA"
"113","ig_14_idp_cond_retour",NA,"regroup_fam",NA,0.20206416032599,NA,NA,NA,"admin_0","RCA"
"213","ig_14_idp_cond_retour",NA,"acces_emploi",NA,0.169058784092538,NA,NA,NA,"admin_0","RCA"
"311","ig_14_idp_cond_retour",NA,"acces_service",NA,0.173447746527549,NA,NA,NA,"admin_0","RCA"
"411","ig_14_idp_cond_retour",NA,"secu",NA,0.639024994087732,NA,NA,NA,"admin_0","RCA"
"511","ig_14_idp_cond_retour",NA,"acces_abris",NA,0.370445151191031,NA,NA,NA,"admin_0","RCA"
"68","ig_14_idp_cond_retour",NA,"acces_abri_origine",NA,0.135423944673916,NA,NA,NA,"admin_0","RCA"
"71","ig_14_idp_cond_retour",NA,"acces_mssc",NA,0.239459118501241,NA,NA,NA,"admin_0","RCA"
"81","ig_14_idp_cond_retour",NA,"acces_ah",NA,0.175239754652884,NA,NA,NA,"admin_0","RCA"
"9","ig_14_idp_cond_retour",NA,"autre",NA,0.0363074246085759,NA,NA,NA,"admin_0","RCA"
"10","ig_14_idp_cond_retour",NA,"nsp",NA,0.0150183832607689,NA,NA,NA,"admin_0","RCA"
"114","ig_16_ret_rapat_dest_finale_oui_non",NA,"abri_origine",NA,0.701770206296341,NA,NA,NA,"admin_0","RCA"
