VillageAll,GPS.point,admin1Name,admin1Pcod,admin2,admin2Pcod,admin3Name,admin3Pcod,TotalPop_fixe
CTRO,"20.6616089999999,5.760686",Ouaka,CF43,Bambari,CF431,Bambari,,2315.576627
GBIASSANGO,"20.6654149999999,5.766565",Ouaka,CF43,Bambari,CF431,Bambari,,103.266126
WANGAYE 1,"20.6814989999999,5.765261",Ouaka,CF43,Bambari,CF431,Bambari,,168.19125
 Carnot,"15.868541,4.939971",Mambéré-Kadéi,CF21,Carnot,CF213,Carnot,,36653.66586
 Bouar,"15.592954,5.931157",Nana-Mambéré,CF22,Bouar,CF221,Herman-Brousse,,28378.02371
 Garoua,"15.197208,5.823887",Nana-Mambéré,CF22,Bouar,CF221,Béa-Nana,,1549.249896
 Bria,"21.991405,6.537415",Haute-Kotto,CF52,Bria,CF521,Samba-Boungou,,25832.14344
#N/A,"18.560752,4.360586",Bangui,CF71,Bangui,CF711,Arrondissement 2,CF7112,#N/A
GOZAMAR,"20.625,8.423889",Bamingui-Bangoran,,Ndélé,,Dar-El-Kouti,,302
BANGUI-VILLE,"21.214987,5.042049",Basse-Kotto,,Alindao,,Alindao,,955
KONGO 2,"21.214987,5.042049",Basse-Kotto,,Alindao,,Alindao,,4175
MISSION CATHOLIQUE,"21.214987,5.042049",Basse-Kotto,,Alindao,,Alindao,,25645
Site AFAPS,"21.214987,5.042049",Basse-kotto,,Alindao,,Alindao,,641
Site Elim,"21.214987,5.042049",Basse-kotto,,Alindao,,Alindao,,2627
Site Pk3 axe mingala,"21.214987,5.042049",Basse-kotto,,Alindao,,Alindao,,612
VOUNDJA DJOGO,"21.214987,5.042049",Basse-Kotto,,Alindao,,Alindao,,1700
ANGAZEU (KONGBO),"21.36464,4.772754",Basse-Kotto,,Alindao,,Bakou,,6840
ELIM 2,"21.21499,5.04205",Basse-Kotto,,Alindao,,Bakou,,573
Eglise Catholique,"21.991405,6.537415",Haute-Kotto,,Bria,,Bria,,464
Eglise CEBI 1,"21.991405,6.537415",Haute-Kotto,,Bria,,Bria,,215
Eglise CEBI 3,"21.991405,6.537415",Haute-Kotto,,Bria,,Bria,,614
Hopital de Bria,"21.991405,6.537415",Haute-Kotto,,Bria,,Bria,,345
PK 3,"21.991405,6.537415",Haute-Kotto,,Bria,,Bria,,50030
