OBJECTID,VillageAll,PC_DTM,PC_OCHA,PC_UNK,GPS_Source,Duplicate,DuplicatPC,Relation,DataSource,FB_POP,UrbanRural,POINT_X,POINT_Y,admin0Name,admin0Pcod,admin1Name,admin1Pcod,admin2Name,admin2Pcod,admin3Name,admin3Pcod,idps,hh_idp,ind_idp,abris_pdi_,abris_pdi1,retournes,hh_ret_rca,ind_ret_rc,abris_ret_,abris_ret1,retournes_,hh_ret_oth,ind_ret_ot,abris_reto,abris_re_1,TotalPop
774, Nangoko, ,21210046, , SIGCAF, ,, , SIGCAF,7130.7392,Urban,15.361528,4.250441,Central African Republic,CF,Mambéré-Kadéï,CF21,Gamboula,CF212,Basse-Boumné,CF2121, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,7130.7392
745, Nao, ,21130030, , SIGCAF, ,, , SIGCAF,2975.481366,Urban,15.318057,4.526812,Central African Republic,CF,Mambéré-Kadéï,CF21,Berbérati,CF211,Ouakanga,CF2113, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,2975.481366
910, Nassarao, ,22130042, , SIGCAF, ,, , SIGCAF,282.4961636,Rural,15.59107,6.243025,Central African Republic,CF,Nana-Mambéré,CF22,Bouar,CF221,Herman-Brousse,CF2213, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,282.4961636
746, Nassole, ,21130031, , SIGCAF, ,, , SIGCAF,21169.81824,Urban,15.375248,4.258509,Central African Republic,CF,Mambéré-Kadéï,CF21,Berbérati,CF211,Ouakanga,CF2113, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,21169.81824
750, Nassouri, ,21130043, , SIGCAF, ,, , WRI,341.4486813,Urban,15.38086212,4.25712096,Central African Republic,CF,Mambéré-Kadéï,CF21,Berbérati,CF211,Ouakanga,CF2113, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,341.4486813
1572, Ndabala, ,32710030, , SIGCAF, ,, , SIGCAF,331.9467239,Rural,18.58654,7.65626,Central African Republic,CF,Ouham,CF32,Kabo,CF327,Sido,CF3271, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,331.9467239
1589, Ndafourou, ,32720026, , SIGCAF, ,, , SIGCAF,270.6054569,Rural,18.656824,7.260615,Central African Republic,CF,Ouham,CF32,Kabo,CF327,Ouaki,CF3272, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,270.6054569
2186, Ndakpando, ,61610034, , SIGCAF, ,, , SIGCAF,846.2681194,Rural,21.891942,4.247853,Central African Republic,CF,Basse-Kotto,CF61,Satéma,CF616,Kotto-Oubangui,CF6161, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,846.2681194
1812, Ndalissio, ,43140058, , SIGCAF, ,, , SIGCAF,606.3507615,Urban,20.506212,5.977028,Central African Republic,CF,Ouaka,CF43,Bambari,CF431,Pladama-Ouaka,CF4314, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,606.3507615
716, Ndambou, ,12510030, , SIGCAF, ,, , SIGCAF,368.3162666,Rural,17.306798,4.327465,Central African Republic,CF,Lobaye,CF12,Boganda,CF125,Boganda,CF1251, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,368.3162666
