"","dependent.var","dependent.var.value","independent.var","independent.var.value","repeat.var","repeat.var.value","numbers"
"61","rep_souhaitee_1","secal","ig_8_statut_groupe","deplaces_FA","admin_0","RCA",0.264
"62","secal_13_reponse_1","cash_nourrit","ig_8_statut_groupe","retournes","admin_0","RCA",0.235
"63","secal_13_reponse_1","cash_nourrit","ig_8_statut_groupe","hote","admin_0","RCA",0.218
"64","secal_13_reponse_1","cash_nourrit","ig_8_statut_groupe","deplaces_site","admin_0","RCA",0.258
"65","secal_13_reponse_1","cash_nourrit","ig_8_statut_groupe","deplaces_FA","admin_0","RCA",0.24
"66","sante_7_reponse_1","prov_medicament","ig_8_statut_groupe","retournes","admin_0","RCA",0.19
"67","sante_7_reponse_1","prov_medicament","ig_8_statut_groupe","hote","admin_0","RCA",0.202
"68","sante_7_reponse_1","cash_frais_med","ig_8_statut_groupe","deplaces_site","admin_0","RCA",0.191
"69","sante_7_reponse_1","cash_frais_med","ig_8_statut_groupe","deplaces_FA","admin_0","RCA",0.172
"70","wash_15_insuff_raisons_1","quantite_insuff","ig_8_statut_groupe","retournes","admin_0","RCA",0.305
"71","wash_15_insuff_raisons_1","quantite_insuff","ig_8_statut_groupe","hote","admin_0","RCA",0.242
"72","wash_15_insuff_raisons_1","quantite_insuff","ig_8_statut_groupe","deplaces_site","admin_0","RCA",0.319
"73","wash_15_insuff_raisons_1","quantite_insuff","ig_8_statut_groupe","deplaces_FA","admin_0","RCA",0.246
"74","wash_21_wash_inquiet_1","eau","ig_8_statut_groupe","retournes","admin_0","RCA",0.313
"75","wash_21_wash_inquiet_1","eau","ig_8_statut_groupe","hote","admin_0","RCA",0.343
"76","wash_21_wash_inquiet_1","eau","ig_8_statut_groupe","deplaces_site","admin_0","RCA",0.325
"77","wash_21_wash_inquiet_1","eau","ig_8_statut_groupe","deplaces_FA","admin_0","RCA",0.343
"78","educ_5_ecole_acces_2","manque_interet","ig_8_statut_groupe","retournes","admin_0","RCA",0.125
"79","educ_5_ecole_acces_2","autre","ig_8_statut_groupe","hote","admin_0","RCA",0.131
"80","educ_5_ecole_acces_2","logistique","ig_8_statut_groupe","deplaces_site","admin_0","RCA",0.134
"81","educ_5_ecole_acces_2","logistique","ig_8_statut_groupe","deplaces_FA","admin_0","RCA",0.129
"82","wash_22_wash_reponse_2","cash_hygiene","ig_8_statut_groupe","retournes","admin_0","RCA",0.22
"83","wash_22_wash_reponse_2","cash_infra","ig_8_statut_groupe","hote","admin_0","RCA",0.164
"84","wash_22_wash_reponse_2","cash_hygiene","ig_8_statut_groupe","deplaces_site","admin_0","RCA",0.203
"85","wash_22_wash_reponse_2","cash_infra","ig_8_statut_groupe","deplaces_FA","admin_0","RCA",0.176
"86","mssc_2_source_rev_2","petit_commerce","ig_8_statut_groupe","retournes","admin_0","RCA",0.223
"87","mssc_2_source_rev_2","petit_commerce","ig_8_statut_groupe","hote","admin_0","RCA",0.218
"88","mssc_2_source_rev_2","agric","ig_8_statut_groupe","deplaces_site","admin_0","RCA",0.193
"89","mssc_2_source_rev_2","agric","ig_8_statut_groupe","deplaces_FA","admin_0","RCA",0.214
"90","wash_9_insuff_raisons_2","distance","ig_8_statut_groupe","retournes","admin_0","RCA",0.199
"91","wash_9_insuff_raisons_2","attente_longue","ig_8_statut_groupe","hote","admin_0","RCA",0.173
"92","wash_9_insuff_raisons_2","attente_longue","ig_8_statut_groupe","deplaces_site","admin_0","RCA",0.176
"93","wash_9_insuff_raisons_2","attente_longue","ig_8_statut_groupe","deplaces_FA","admin_0","RCA",0.178
"94","nfi_7_assistance_2","argent_materiel","ig_8_statut_groupe","retournes","admin_0","RCA",0.176
"95","nfi_7_assistance_2","argent_nfi_essentiels","ig_8_statut_groupe","hote","admin_0","RCA",0.162
"96","nfi_7_assistance_2","argent_materiel","ig_8_statut_groupe","deplaces_site","admin_0","RCA",0.172
"97","nfi_7_assistance_2","argent_materiel","ig_8_statut_groupe","deplaces_FA","admin_0","RCA",0.16
"98","educ_6_reponse_2","cash_frais","ig_8_statut_groupe","retournes","admin_0","RCA",0.16
"99","educ_6_reponse_2","cash_fournitures","ig_8_statut_groupe","hote","admin_0","RCA",0.174
"100","educ_6_reponse_2","cash_fournitures","ig_8_statut_groupe","deplaces_site","admin_0","RCA",0.238
"101","educ_6_reponse_2","cash_fournitures","ig_8_statut_groupe","deplaces_FA","admin_0","RCA",0.185
"102","rep_souhaitee_2","wash","ig_8_statut_groupe","retournes","admin_0","RCA",0.198
"103","rep_souhaitee_2","wash","ig_8_statut_groupe","hote","admin_0","RCA",0.229
"104","rep_souhaitee_2","wash","ig_8_statut_groupe","deplaces_site","admin_0","RCA",0.206
"105","rep_souhaitee_2","wash","ig_8_statut_groupe","deplaces_FA","admin_0","RCA",0.214
"106","secal_13_reponse_2","cash_intrant_agri","ig_8_statut_groupe","retournes","admin_0","RCA",0.234
"107","secal_13_reponse_2","cash_intrant_agri","ig_8_statut_groupe","hote","admin_0","RCA",0.179
"108","secal_13_reponse_2","cash_intrant_agri","ig_8_statut_groupe","deplaces_site","admin_0","RCA",0.204
"109","secal_13_reponse_2","cash_nfi","ig_8_statut_groupe","deplaces_FA","admin_0","RCA",0.193
"110","sante_7_reponse_2","cash_frais_med","ig_8_statut_groupe","retournes","admin_0","RCA",0.178
"111","sante_7_reponse_2","cash_frais_med","ig_8_statut_groupe","hote","admin_0","RCA",0.165
"112","sante_7_reponse_2","prov_medicament","ig_8_statut_groupe","deplaces_site","admin_0","RCA",0.179
"113","sante_7_reponse_2","prov_medicament","ig_8_statut_groupe","deplaces_FA","admin_0","RCA",0.163
"114","wash_15_insuff_raisons_2","hygiene_insuff","ig_8_statut_groupe","retournes","admin_0","RCA",0.197
"115","wash_15_insuff_raisons_2","hygiene_insuff","ig_8_statut_groupe","hote","admin_0","RCA",0.236
"116","wash_15_insuff_raisons_2","hygiene_insuff","ig_8_statut_groupe","deplaces_site","admin_0","RCA",0.212
"117","wash_15_insuff_raisons_2","hygiene_insuff","ig_8_statut_groupe","deplaces_FA","admin_0","RCA",0.236
"118","wash_21_wash_inquiet_2","sanitaire","ig_8_statut_groupe","retournes","admin_0","RCA",0.247
"119","wash_21_wash_inquiet_2","sanitaire","ig_8_statut_groupe","hote","admin_0","RCA",0.232
"120","wash_21_wash_inquiet_2","sanitaire","ig_8_statut_groupe","deplaces_site","admin_0","RCA",0.235
"121","wash_21_wash_inquiet_2","sanitaire","ig_8_statut_groupe","deplaces_FA","admin_0","RCA",0.231
"122","educ_5_ecole_acces_3","acces_dangereux","ig_8_statut_groupe","retournes","admin_0","RCA",0.11
"123","educ_5_ecole_acces_3","aucune","ig_8_statut_groupe","hote","admin_0","RCA",0.127
"124","educ_5_ecole_acces_3","acces_dangereux","ig_8_statut_groupe","deplaces_site","admin_0","RCA",0.13
"125","educ_5_ecole_acces_3","aucune","ig_8_statut_groupe","deplaces_FA","admin_0","RCA",0.117
"126","wash_22_wash_reponse_3","cash_infra","ig_8_statut_groupe","retournes","admin_0","RCA",0.165
"127","wash_22_wash_reponse_3","prov_recipient","ig_8_statut_groupe","hote","admin_0","RCA",0.151
"128","wash_22_wash_reponse_3","cash_infra","ig_8_statut_groupe","deplaces_site","admin_0","RCA",0.164
"129","wash_22_wash_reponse_3","cash_hygiene","ig_8_statut_groupe","deplaces_FA","admin_0","RCA",0.147
"130","mssc_2_source_rev_3","pche","ig_8_statut_groupe","retournes","admin_0","RCA",0.121
"131","mssc_2_source_rev_3","pche","ig_8_statut_groupe","hote","admin_0","RCA",0.0988
"132","mssc_2_source_rev_3","pche","ig_8_statut_groupe","deplaces_site","admin_0","RCA",0.0956
"133","mssc_2_source_rev_3","nsp","ig_8_statut_groupe","deplaces_FA","admin_0","RCA",0.105
"134","wash_9_insuff_raisons_3","attente_longue","ig_8_statut_groupe","retournes","admin_0","RCA",0.166
"135","wash_9_insuff_raisons_3","distance","ig_8_statut_groupe","hote","admin_0","RCA",0.151
"136","wash_9_insuff_raisons_3","aucune","ig_8_statut_groupe","deplaces_site","admin_0","RCA",0.121
"137","wash_9_insuff_raisons_3","distance","ig_8_statut_groupe","deplaces_FA","admin_0","RCA",0.172
"138","nfi_7_assistance_3","argent_nfi_essentiels","ig_8_statut_groupe","retournes","admin_0","RCA",0.168
"139","nfi_7_assistance_3","provision_nfi_essentiels","ig_8_statut_groupe","hote","admin_0","RCA",0.147
"140","nfi_7_assistance_3","provision_abri","ig_8_statut_groupe","deplaces_site","admin_0","RCA",0.153
"141","nfi_7_assistance_3","argent_nfi_essentiels","ig_8_statut_groupe","deplaces_FA","admin_0","RCA",0.158
"142","educ_6_reponse_3","cash_nourriture","ig_8_statut_groupe","retournes","admin_0","RCA",0.128
"143","educ_6_reponse_3","prov_fournitures","ig_8_statut_groupe","hote","admin_0","RCA",0.173
"144","educ_6_reponse_3","cash_livres","ig_8_statut_groupe","deplaces_site","admin_0","RCA",0.13
"145","educ_6_reponse_3","prov_fournitures","ig_8_statut_groupe","deplaces_FA","admin_0","RCA",0.124
"146","rep_souhaitee_3","sante","ig_8_statut_groupe","retournes","admin_0","RCA",0.195
"147","rep_souhaitee_3","sante","ig_8_statut_groupe","hote","admin_0","RCA",0.222
"148","rep_souhaitee_3","nfi","ig_8_statut_groupe","deplaces_site","admin_0","RCA",0.189
"149","rep_souhaitee_3","sante","ig_8_statut_groupe","deplaces_FA","admin_0","RCA",0.199
"150","secal_13_reponse_3","cash_nfi","ig_8_statut_groupe","retournes","admin_0","RCA",0.136
"151","secal_13_reponse_3","cash_nfi","ig_8_statut_groupe","hote","admin_0","RCA",0.148
"152","secal_13_reponse_3","cash_nfi","ig_8_statut_groupe","deplaces_site","admin_0","RCA",0.159
"153","secal_13_reponse_3","cash_intrant_agri","ig_8_statut_groupe","deplaces_FA","admin_0","RCA",0.148
"154","sante_7_reponse_3","acces_staff_cs","ig_8_statut_groupe","retournes","admin_0","RCA",0.146
"155","sante_7_reponse_3","acces_staff_cs","ig_8_statut_groupe","hote","admin_0","RCA",0.137
"156","sante_7_reponse_3","acces_staff_cs","ig_8_statut_groupe","deplaces_site","admin_0","RCA",0.126
"157","sante_7_reponse_3","acces_staff_cs","ig_8_statut_groupe","deplaces_FA","admin_0","RCA",0.16
"158","wash_15_insuff_raisons_3","qualite_insuff","ig_8_statut_groupe","retournes","admin_0","RCA",0.164
"159","wash_15_insuff_raisons_3","mixte","ig_8_statut_groupe","hote","admin_0","RCA",0.164
"160","wash_15_insuff_raisons_3","qualite_insuff","ig_8_statut_groupe","deplaces_site","admin_0","RCA",0.156
"161","wash_15_insuff_raisons_3","mixte","ig_8_statut_groupe","deplaces_FA","admin_0","RCA",0.176
