"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"910","ig_12_idp_length_idp","ig_8_statut_groupe","12_mois_ou_plus","deplaces_site",0.934195294101385,NA,NA,NA,"admin_0","RCA"
"1010","ig_12_idp_length_idp","ig_8_statut_groupe","3_5_mois","deplaces_site",0.00762311649289102,NA,NA,NA,"admin_0","RCA"
"1110","ig_12_idp_length_idp","ig_8_statut_groupe","5_12_mois","deplaces_site",0.0416435360743883,NA,NA,NA,"admin_0","RCA"
"128","ig_12_idp_length_idp","ig_8_statut_groupe","nsp","deplaces_site",0.00858630873274579,NA,NA,NA,"admin_0","RCA"
"129","ig_14_idp_cond_retour","ig_8_statut_groupe","regroup_fam","deplaces_FA",0.210550051196613,NA,NA,NA,"admin_0","RCA"
"213","ig_14_idp_cond_retour","ig_8_statut_groupe","regroup_fam","deplaces_site",0.172385842194979,NA,NA,NA,"admin_0","RCA"
"313","ig_14_idp_cond_retour","ig_8_statut_groupe","acces_emploi","deplaces_FA",0.180104259853528,NA,NA,NA,"admin_0","RCA"
"413","ig_14_idp_cond_retour","ig_8_statut_groupe","acces_emploi","deplaces_site",0.130428645131183,NA,NA,NA,"admin_0","RCA"
"513","ig_14_idp_cond_retour","ig_8_statut_groupe","acces_service","deplaces_FA",0.177995237025402,NA,NA,NA,"admin_0","RCA"
"613","ig_14_idp_cond_retour","ig_8_statut_groupe","acces_service","deplaces_site",0.157543480051502,NA,NA,NA,"admin_0","RCA"
"713","ig_14_idp_cond_retour","ig_8_statut_groupe","secu","deplaces_FA",0.60644060093904,NA,NA,NA,"admin_0","RCA"
"813","ig_14_idp_cond_retour","ig_8_statut_groupe","secu","deplaces_site",0.75298474218215,NA,NA,NA,"admin_0","RCA"
"911","ig_14_idp_cond_retour","ig_8_statut_groupe","acces_abris","deplaces_FA",0.328899272692537,NA,NA,NA,"admin_0","RCA"
"1011","ig_14_idp_cond_retour","ig_8_statut_groupe","acces_abris","deplaces_site",0.515746548287626,NA,NA,NA,"admin_0","RCA"
"1111","ig_14_idp_cond_retour","ig_8_statut_groupe","acces_abri_origine","deplaces_FA",0.124244988226205,NA,NA,NA,"admin_0","RCA"
"1210","ig_14_idp_cond_retour","ig_8_statut_groupe","acces_abri_origine","deplaces_site",0.174520915267357,NA,NA,NA,"admin_0","RCA"
"131","ig_14_idp_cond_retour","ig_8_statut_groupe","acces_mssc","deplaces_FA",0.215020656330407,NA,NA,NA,"admin_0","RCA"
