"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"92","ig_14_idp_cond_retour","sexe_chef_menage","acces_abris","femme",0.338240120242305,NA,NA,NA,"admin_0","RCA"
"102","ig_14_idp_cond_retour","sexe_chef_menage","acces_abris","homme",0.391573313919399,NA,NA,NA,"admin_0","RCA"
"115","ig_14_idp_cond_retour","sexe_chef_menage","acces_abri_origine","femme",0.142244929549085,NA,NA,NA,"admin_0","RCA"
"122","ig_14_idp_cond_retour","sexe_chef_menage","acces_abri_origine","homme",0.130949026496077,NA,NA,NA,"admin_0","RCA"
"131","ig_14_idp_cond_retour","sexe_chef_menage","acces_mssc","femme",0.203923210265342,NA,NA,NA,"admin_0","RCA"
"141","ig_14_idp_cond_retour","sexe_chef_menage","acces_mssc","homme",0.262772508670119,NA,NA,NA,"admin_0","RCA"
"15","ig_14_idp_cond_retour","sexe_chef_menage","acces_ah","femme",0.178481777605401,NA,NA,NA,"admin_0","RCA"
"16","ig_14_idp_cond_retour","sexe_chef_menage","acces_ah","homme",0.173112820242576,NA,NA,NA,"admin_0","RCA"
"17","ig_14_idp_cond_retour","sexe_chef_menage","autre","femme",0.0244474158446928,NA,NA,NA,"admin_0","RCA"
"18","ig_14_idp_cond_retour","sexe_chef_menage","autre","homme",0.044088202572185,NA,NA,NA,"admin_0","RCA"
"19","ig_14_idp_cond_retour","sexe_chef_menage","nsp","femme",0.0128286198904527,NA,NA,NA,"admin_0","RCA"
"20","ig_14_idp_cond_retour","sexe_chef_menage","nsp","homme",0.0164549810674383,NA,NA,NA,"admin_0","RCA"
"116","ig_16_ret_rapat_dest_finale_oui_non","sexe_chef_menage","abri_origine","femme",0.823970628645601,NA,NA,NA,"admin_0","RCA"
"214","ig_16_ret_rapat_dest_finale_oui_non","sexe_chef_menage","autre","femme",0.0346935611787133,NA,NA,NA,"admin_0","RCA"
"314","ig_16_ret_rapat_dest_finale_oui_non","sexe_chef_menage","commune_origine","femme",0.141335810175686,NA,NA,NA,"admin_0","RCA"
"414","ig_16_ret_rapat_dest_finale_oui_non","sexe_chef_menage","abri_origine","homme",0.613678706920625,NA,NA,NA,"admin_0","RCA"
"512","ig_16_ret_rapat_dest_finale_oui_non","sexe_chef_menage","autre","homme",0.0388235881271225,NA,NA,NA,"admin_0","RCA"
"65","ig_16_ret_rapat_dest_finale_oui_non","sexe_chef_menage","commune_origine","homme",0.347497704952252,NA,NA,NA,"admin_0","RCA"
"117","ig_16_ret_rapat_abri_origine_non_raison","sexe_chef_menage","abri_detruit","femme",0.720887372170973,NA,NA,NA,"admin_0","RCA"
"215","ig_16_ret_rapat_abri_origine_non_raison","sexe_chef_menage","abri_occupe_etat","femme",0.185816870592198,NA,NA,NA,"admin_0","RCA"
"315","ig_16_ret_rapat_abri_origine_non_raison","sexe_chef_menage","abri_occupe_tiers","femme",0.000580222931801384,NA,NA,NA,"admin_0","RCA"
"415","ig_16_ret_rapat_abri_origine_non_raison","sexe_chef_menage","abri_tropcher","femme",0.0127428456813302,NA,NA,NA,"admin_0","RCA"
"513","ig_16_ret_rapat_abri_origine_non_raison","sexe_chef_menage","autre","femme",0.000271023549840789,NA,NA,NA,"admin_0","RCA"
"66","ig_16_ret_rapat_abri_origine_non_raison","sexe_chef_menage","insecurite","femme",0.0311326762790182,NA,NA,NA,"admin_0","RCA"
"73","ig_16_ret_rapat_abri_origine_non_raison","sexe_chef_menage","perte_doc","femme",0.0178307246275242,NA,NA,NA,"admin_0","RCA"
"83","ig_16_ret_rapat_abri_origine_non_raison","sexe_chef_menage","perte_du_proprietaire","femme",0.0307382641673139,NA,NA,NA,"admin_0","RCA"
"93","ig_16_ret_rapat_abri_origine_non_raison","sexe_chef_menage","abri_detruit","homme",0.713841393081776,NA,NA,NA,"admin_0","RCA"
"103","ig_16_ret_rapat_abri_origine_non_raison","sexe_chef_menage","abri_occupe_tiers","homme",0.241407850311336,NA,NA,NA,"admin_0","RCA"
"118","ig_16_ret_rapat_abri_origine_non_raison","sexe_chef_menage","abri_tropcher","homme",0.00558149954283369,NA,NA,NA,"admin_0","RCA"
"123","ig_16_ret_rapat_abri_origine_non_raison","sexe_chef_menage","autre","homme",0.0188215090100921,NA,NA,NA,"admin_0","RCA"
"132","ig_16_ret_rapat_abri_origine_non_raison","sexe_chef_menage","insecurite","homme",0.00248020940264781,NA,NA,NA,"admin_0","RCA"
"142","ig_16_ret_rapat_abri_origine_non_raison","sexe_chef_menage","nsp","homme",0.0127789232281997,NA,NA,NA,"admin_0","RCA"
"151","ig_16_ret_rapat_abri_origine_non_raison","sexe_chef_menage","perte_doc","homme",0.00458236623513187,NA,NA,NA,"admin_0","RCA"
"161","ig_16_ret_rapat_abri_origine_non_raison","sexe_chef_menage","perte_du_proprietaire","homme",0.000506249187982798,NA,NA,NA,"admin_0","RCA"
"119","ig_17_ret_rapat_dest_finale_non_raison","sexe_chef_menage","abri_detruit","femme",0.230686882134568,NA,NA,NA,"admin_0","RCA"
"216","ig_17_ret_rapat_dest_finale_non_raison","sexe_chef_menage","abri_occupe_tiers","femme",0.00200489995753694,NA,NA,NA,"admin_0","RCA"
"316","ig_17_ret_rapat_dest_finale_non_raison","sexe_chef_menage","abri_tropcher","femme",0.0166310770127541,NA,NA,NA,"admin_0","RCA"
"416","ig_17_ret_rapat_dest_finale_non_raison","sexe_chef_menage","insecurite","femme",0.722756361243057,NA,NA,NA,"admin_0","RCA"
"514","ig_17_ret_rapat_dest_finale_non_raison","sexe_chef_menage","nsp","femme",0.00546500357309943,NA,NA,NA,"admin_0","RCA"
"67","ig_17_ret_rapat_dest_finale_non_raison","sexe_chef_menage","perte_du_proprietaire","femme",0.0224557760789846,NA,NA,NA,"admin_0","RCA"
"74","ig_17_ret_rapat_dest_finale_non_raison","sexe_chef_menage","abri_detruit","homme",0.641054896340069,NA,NA,NA,"admin_0","RCA"
"84","ig_17_ret_rapat_dest_finale_non_raison","sexe_chef_menage","abri_occupe_tiers","homme",0.0374781644958684,NA,NA,NA,"admin_0","RCA"
"94","ig_17_ret_rapat_dest_finale_non_raison","sexe_chef_menage","abri_tropcher","homme",0.125820163541092,NA,NA,NA,"admin_0","RCA"
"104","ig_17_ret_rapat_dest_finale_non_raison","sexe_chef_menage","autre","homme",0.00766754998689531,NA,NA,NA,"admin_0","RCA"
"1110","ig_17_ret_rapat_dest_finale_non_raison","sexe_chef_menage","insecurite","homme",0.177721169255121,NA,NA,NA,"admin_0","RCA"
"124","ig_17_ret_rapat_dest_finale_non_raison","sexe_chef_menage","perte_doc","homme",0.00766754998689531,NA,NA,NA,"admin_0","RCA"
"133","ig_17_ret_rapat_dest_finale_non_raison","sexe_chef_menage","perte_du_proprietaire","homme",0.00259050639405845,NA,NA,NA,"admin_0","RCA"
"120","ig_15_rtr_ret_rapat","sexe_chef_menage","autre","femme",0.00637154378873779,NA,NA,NA,"admin_0","RCA"
"217","ig_15_rtr_ret_rapat","sexe_chef_menage","fermeture_site","femme",0.00158067280926703,NA,NA,NA,"admin_0","RCA"
"317","ig_15_rtr_ret_rapat","sexe_chef_menage","meilleure_assist_human","femme",0.0718870380691666,NA,NA,NA,"admin_0","RCA"
"417","ig_15_rtr_ret_rapat","sexe_chef_menage","meilleure_qualite_vie","femme",0.127937702318139,NA,NA,NA,"admin_0","RCA"
"515","ig_15_rtr_ret_rapat","sexe_chef_menage","meilleures_secu","femme",0.125579080908007,NA,NA,NA,"admin_0","RCA"
"68","ig_15_rtr_ret_rapat","sexe_chef_menage","moins_assist_human","femme",0.0225686836797645,NA,NA,NA,"admin_0","RCA"
"75","ig_15_rtr_ret_rapat","sexe_chef_menage","moins_qualite_vie","femme",0.0810933474277333,NA,NA,NA,"admin_0","RCA"
"85","ig_15_rtr_ret_rapat","sexe_chef_menage","moins_secu","femme",0.0165980626651263,NA,NA,NA,"admin_0","RCA"
"95","ig_15_rtr_ret_rapat","sexe_chef_menage","nsp","femme",0.000172495043969527,NA,NA,NA,"admin_0","RCA"
