Prefecture,Sous-prefecture,,Strata,Population,Groupe
Haut-Mbomou,Bambouti,,Bambouti_IDP_FA,131,IDP_FA
Haut-Mbomou,Djéma,,Djéma_IDP_FA,3637,IDP_FA
Haut-Mbomou,Obo,,Obo_IDP_FA,3416,IDP_FA
Haut-Mbomou,Zémio,,Zémio_IDP_FA,2812,IDP_FA
Kémo,Dékoa,,Dékoa_IDP_FA,1946.24,IDP_FA
Kémo,Mala,,Mala_IDP_FA,769.6,IDP_FA
Kémo,Ndjoukou,,Ndjoukou_IDP_FA,1544.72,IDP_FA
Kémo,Sibut,,Sibut_IDP_FA,2159.84,IDP_FA
Lobaye,Boda,,Boda_IDP_FA,2562.24,IDP_FA
Lobaye,Boganangone,,Boganangone_IDP_FA,1440.04,IDP_FA
Lobaye,Boganda,,Boganda_IDP_FA,687.72,IDP_FA
Lobaye,Mbaïki,,Mbaïki_IDP_FA,7556.84,IDP_FA
Lobaye,Mongoumba,,Mongoumba_IDP_FA,1138.2,IDP_FA
Mambéré-Kadéï,Amada-Gaza,,Amada-Gaza_IDP_FA,931.32,IDP_FA
Mambéré-Kadéï,Berbérati,,Berbérati_IDP_FA,7504.76,IDP_FA
Mambéré-Kadéï,Carnot,,Carnot_IDP_FA,5027.32,IDP_FA
Mambéré-Kadéï,Dédé-Mokouba,,Dédé-Mokouba_IDP_FA,1075,IDP_FA
Mambéré-Kadéï,Gadzi,,Gadzi_IDP_FA,2920.16,IDP_FA
Mambéré-Kadéï,Gamboula,,Gamboula_IDP_FA,1608.24,IDP_FA
Mambéré-Kadéï,Sosso-Nakombo,,Sosso-Nakombo_IDP_FA,711.84,IDP_FA
Mbomou,Bakouma,,Bakouma_IDP_FA,603,IDP_FA
Mbomou,Bangassou,,Bangassou_IDP_FA,9628,IDP_FA
Mbomou,Gambo,,Gambo_IDP_FA,500,IDP_FA
Mbomou,Ouango,,Ouango_IDP_FA,2257,IDP_FA
Mbomou,Rafai,,Rafai_IDP_FA,2663,IDP_FA
Nana-Gribizi,Kaga-Bandoro,,Kaga-Bandoro_IDP_FA,2277,IDP_FA
Nana-Gribizi,Mbrès,,Mbrès_IDP_FA,707,IDP_FA
Nana-Mambéré,Abba,,Abba_IDP_FA,2,IDP_FA
Nana-Mambéré,Baboua,,Baboua_IDP_FA,"1,885",IDP_FA
Nana-Mambéré,Baoro,,Baoro_IDP_FA,6,IDP_FA
Nana-Mambéré,Bouar,,Bouar_IDP_FA,"2,974",IDP_FA
Ombella M'Poko,Bimbo,,Bimbo_IDP_FA,"2,297",IDP_FA
Ombella M'Poko,Boali,,Boali_IDP_FA,300,IDP_FA
Ombella M'Poko,Bogangolo,,Bogangolo_IDP_FA,186,IDP_FA
Ombella M'Poko,Bossembélé,,Bossembélé_IDP_FA,400,IDP_FA
Ombella M'Poko,Damara,,Damara_IDP_FA,96,IDP_FA
Ombella M'Poko,Yaloké,,Yaloké_IDP_FA,206,IDP_FA
Ouaka,Bakala,,Bakala_IDP_FA,564,IDP_FA
Ouaka,Bambari,,Bambari_IDP_FA,5177,IDP_FA
Ouaka,Grimari,,Grimari_IDP_FA,357,IDP_FA
Ouaka,Ippy,,Ippy_IDP_FA,60,IDP_FA
Ouaka,Kouango,,Kouango_IDP_FA,564,IDP_FA
Ouham,Bossangoa,,Bossangoa_IDP_FA,18,IDP_FA
Ouham,Bouca,,Bouca_IDP_FA,443,IDP_FA
Ouham,Kabo,,Kabo_IDP_FA,923,IDP_FA
Ouham,Markounda,,Markounda_IDP_FA,551,IDP_FA
Ouham,Nangha Boguila,,Nangha Boguila_IDP_FA,60,IDP_FA
Ouham Pendé,Bocaranga,,Bocaranga_IDP_FA,778,IDP_FA
Ouham Pendé,Bossemtélé,,Bossemtélé_IDP_FA,20,IDP_FA
Ouham Pendé,Bozoum,,Bozoum_IDP_FA,85,IDP_FA
Ouham Pendé,Koui,,Koui_IDP_FA,273,IDP_FA
Ouham Pendé,Ngaoundaye,,Ngaoundaye_IDP_FA,676,IDP_FA
Ouham Pendé,Paoua,,Paoua_IDP_FA,923,IDP_FA
Sangha-Mbaéré,Nola,,Nola_IDP_FA,571,IDP_FA
Vakaga,Birao,,Birao_IDP_FA,265,IDP_FA
Vakaga,Ouanda-Djallé,,Ouanda-Djallé_IDP_FA,40,IDP_FA
Bamingui-Bangoran,Bamingui,,Bamingui_retourne_rapatrie,668,retourne_rapatrie
Bamingui-Bangoran,Ndélé,,Ndélé_retourne_rapatrie,858,retourne_rapatrie
Bangui,Bangui,,Bangui_retourne_rapatrie,7347,retourne_rapatrie
Basse-Kotto,Alindao,,Alindao_retourne_rapatrie,1879,retourne_rapatrie
Basse-Kotto,Kembé,,Kembé_retourne_rapatrie,31,retourne_rapatrie
Basse-Kotto,Mobaye,,Mobaye_retourne_rapatrie,2271,retourne_rapatrie
Basse-Kotto,Satéma,,Satéma_retourne_rapatrie,314,retourne_rapatrie
Haute-Kotto,Bria,,Bria_retourne_rapatrie,1431,retourne_rapatrie
Haute-Kotto,Yalinga,,Yalinga_retourne_rapatrie,610,retourne_rapatrie
Haut-Mbomou,Bambouti,,Bambouti_retourne_rapatrie,49,retourne_rapatrie
Haut-Mbomou,Djéma,,Djéma_retourne_rapatrie,123,retourne_rapatrie
Haut-Mbomou,Obo,,Obo_retourne_rapatrie,46,retourne_rapatrie
Haut-Mbomou,Zémio,,Zémio_retourne_rapatrie,2747,retourne_rapatrie
Mambéré-Kadéï,Carnot,,Carnot_retourne_rapatrie,788,retourne_rapatrie
Mambéré-Kadéï,Gadzi,,Gadzi_retourne_rapatrie,870,retourne_rapatrie
Mambéré-Kadéï,Gamboula,,Gamboula_retourne_rapatrie,51,retourne_rapatrie
Mbomou,Bakouma,,Bakouma_retourne_rapatrie,921,retourne_rapatrie
Mbomou,Bangassou,,Bangassou_retourne_rapatrie,6794,retourne_rapatrie
Mbomou,Gambo,,Gambo_retourne_rapatrie,1054,retourne_rapatrie
Mbomou,Ouango,,Ouango_retourne_rapatrie,4311,retourne_rapatrie
Mbomou,Rafai,,Rafai_retourne_rapatrie,715,retourne_rapatrie
Nana-Gribizi,Kaga-Bandoro,,Kaga-Bandoro_retourne_rapatrie,21170,retourne_rapatrie
Nana-Gribizi,Mbrès,,Mbrès_retourne_rapatrie,2872,retourne_rapatrie
Nana-Mambéré,Baoro,,Baoro_retourne_rapatrie,1809,retourne_rapatrie
Nana-Mambéré,Bouar,,Bouar_retourne_rapatrie,2363,retourne_rapatrie
Ouaka,Bakala,,Bakala_retourne_rapatrie,69,retourne_rapatrie
Ouaka,Bambari,,Bambari_retourne_rapatrie,1403,retourne_rapatrie
Ouaka,Grimari,,Grimari_retourne_rapatrie,89,retourne_rapatrie
Ouaka,Ippy,,Ippy_retourne_rapatrie,132,retourne_rapatrie
Ouaka,Kouango,,Kouango_retourne_rapatrie,543,retourne_rapatrie
Ouham,Batangafo,,Batangafo_retourne_rapatrie,9499,retourne_rapatrie
Ouham,Bouca,,Bouca_retourne_rapatrie,1950,retourne_rapatrie
Ouham,Kabo,,Kabo_retourne_rapatrie,729,retourne_rapatrie
Ouham,Markounda,,Markounda_retourne_rapatrie,4319,retourne_rapatrie
Ouham,Nangha Boguila,,Nangha Boguila_retourne_rapatrie,479,retourne_rapatrie
Ouham Pendé,Bocaranga,,Bocaranga_retourne_rapatrie,5931,retourne_rapatrie
Ouham Pendé,Bossemtélé,,Bossemtélé_retourne_rapatrie,216,retourne_rapatrie
Ouham Pendé,Bozoum,,Bozoum_retourne_rapatrie,1096,retourne_rapatrie
Ouham Pendé,Koui,,Koui_retourne_rapatrie,2555,retourne_rapatrie
Ouham Pendé,Ngaoundaye,,Ngaoundaye_retourne_rapatrie,11195,retourne_rapatrie
Ouham Pendé,Paoua,,Paoua_retourne_rapatrie,23423,retourne_rapatrie
